DISTRACTOR
prince
teacher
meat
since
woman
tail
chips
milk
chef
plant
black
water
fire
school
breakfast
movie
chair
table
computer
jacket
coffee
door
wall
pasta
zoo
queen
eyes
mouse
oven
number
staff
tea
plate
mushroom
